"id","nome","curso","periodo","nota_p1","nota_p2","frequencia","horas_estudo","modalidade","cidade","status"
564,"Fabio Ferreira","ADS",2,2.4,5.7,81,5,"Online","Brasilia","Ativo"
565,"Patricia Silva","Medicina",5,3.4,3.9,72,4,"Hibrido","Goiania","Ativo"
566,"Olivia Rodrigues","Medicina",2,6.3,8,76,5,"Presencial","Goiania","Ativo"
567,"Marina Farias","Enfermagem",1,7.1,8.4,98,6,"Presencial","Anapolis","Trancado"
568,"Beatriz Moura","Enfermagem",8,6.6,6.1,71,10,"Hibrido","Anapolis","Ativo"
569,"Sofia Machado","ADS",6,9.1,6.1,89,7,"Online","Anapolis","Ativo"
570,"Denise Reis","ADS",3,7.6,10,46,9,"Online","Aparecida de Goiania","Transferido"
571,"Henrique Castro","Enfermagem",6,5.4,6.3,93,5,"Online","Aparecida de Goiania","Trancado"
572,"Breno Costa","ADS",5,9.8,6.2,35,3,"Online","Goiania","Transferido"
573,"Ricardo Azevedo","Enfermagem",8,7.7,6.1,78,5,"Presencial","Aparecida de Goiania","Ativo"
574,"Ana Carvalho","Fisioterapia",9,6.1,6.5,100,6,"Online","Brasilia",""
575,"Lucas Cardoso","Enfermagem",3,6.8,5.6,66,3,"Presencial","Anapolis","Ativo"
576,"Nicolas Nascimento","Medicina",4,9.5,8.6,100,8,"Hibrido","Anapolis","Formado"
577,"Renato Tavares","Medicina",5,6.3,6,60,2,"Hibrido","Goiania","Ativo"
578,"Yasmin Gomes","Enfermagem",8,6.5,5.1,82,8,"Hibrido","Goiania","Concluinte"
579,"Julia Reis","Enfermagem",5,6,6.5,91,10,"Hibrido","Goiania","Formado"
580,"Julio Machado","Enfermagem",1,9.7,10,80,5,"Presencial","Brasilia","Ativo"
581,"Camila Cardoso","Fisioterapia",8,6.2,7.4,91,5,"Hibrido","Goiania","Ativo"
582,"Diego Gomes","ADS",4,9.1,5.3,91,1,"Online","Goiania","Ativo"
583,"Natalia Nascimento","Medicina",3,4.6,5.5,88,8,"Presencial","Goiania","Cancelado"
584,"Marcelo Fernandes","Fisioterapia",9,4.7,6.6,88,3,"Presencial","Aparecida de Goiania","Jubilado"
585,"Isabela Ribeiro","ADS",5,4.6,6.8,90,5,"Presencial","Anapolis","Concluinte"
586,"Paula Almeida","Medicina",2,5.8,6.9,85,7,"Online","Rio Verde","Ativo"
587,"Patricia Moura","Medicina",8,9.2,9,69,5,"Online","Goiania","Ativo"
588,"Elena Pereira","Medicina",6,5,7.8,71,6,"Hibrido","Anapolis","Ativo"
589,"Sofia Freitas","ADS",8,8.4,6.2,75,1,"Hibrido","Rio Verde","Ativo"
590,"Beatriz Mendes","ADS",10,9.1,5.9,96,2,"Online","Anapolis","Ativo"
591,"Nadia Cunha","Medicina",7,6.7,7,93,3,"Presencial","Anapolis","Ativo"
592,"Eduardo Fernandes","Fisioterapia",1,8.8,6.4,81,10,"Presencial","Brasilia","Ativo"
593,"Renato Cunha","Fisioterapia",6,7.7,6.8,72,5,"Presencial","Brasilia","Ativo"
594,"Larissa Moura","Fisioterapia",6,8.6,7.6,76,2,"Presencial","Goiania","Ativo"
595,"Eduardo Dias","Medicina",10,8.4,5.3,83,3,"Online","Anapolis","Transferido"
596,"Mateus Batista","Fisioterapia",1,3.4,7.4,79,7,"Online","Aparecida de Goiania","Ativo"
597,"Karina Barbosa","ADS",2,6.7,8.2,74,4,"Presencial","Anapolis","Trancado"
598,"Larissa Carvalho","Medicina",2,6.8,6.8,83,3,"Presencial","Brasilia","Ativo"
599,"Vitor Machado","ADS",6,8,9.8,91,2,"Presencial","Rio Verde","Ativo"
600,"Natalia Moura","Fisioterapia",3,,6.8,70,9,"Online","Goiania","Ativo"
601,"Ingrid Ribeiro","Enfermagem",6,5,7.1,57,4,"Online","Brasilia","Ativo"
602,"Camila Nascimento","Fisioterapia",3,9.6,7.1,75,8,"Presencial","Rio Verde","Formado"
603,"Julio Lopes","Fisioterapia",5,5.2,6.4,78,5,"Hibrido","Brasilia","Ativo"
604,"Rafael Ferreira","Fisioterapia",9,4.6,8.3,65,10,"Presencial","Anapolis","Ativo"
605,"Ricardo Fernandes","Enfermagem",8,10,9.8,67,6,"Hibrido","Aparecida de Goiania","Ativo"
606,"Helena Melo","Medicina",5,7.3,5.8,66,7,"Online","Rio Verde","Ativo"
607,"Vanessa Mendes","Enfermagem",2,6.4,6,72,7,"Hibrido","Anapolis","Transferido"
608,"Giovana Dias","Fisioterapia",4,3.3,6.3,44,10,"Online","Goiania","Ativo"
609,"Paula Cruz","ADS",2,6.6,6.3,85,4,"Online","Brasilia","Formado"
610,"Wagner Campos","Fisioterapia",9,7.4,5.3,49,5,"Online","Goiania","Trancado"
611,"Lucas Gomes","Enfermagem",10,4.9,3.6,82,8,"Online","Anapolis","Formado"
612,"Nicolas Almeida","Enfermagem",2,6.4,10,84,8,"Hibrido","Anapolis","Ativo"
613,"Sofia Monteiro","ADS",8,8.1,7,75,2,"Hibrido","Anapolis","Formado"
614,"Pedro Alves","Enfermagem",6,7.2,6.9,71,8,"Online","Goiania","Ativo"
615,"Yasmin Barbosa","ADS",4,6.4,5.2,55,6,"Online","Goiania","Ativo"
616,"Hugo Dias","Fisioterapia",9,6.4,8,57,8,"Presencial","Rio Verde","Formado"
617,"Diego Alves","Medicina",10,5.8,8.9,50,10,"Online","Anapolis","Ativo"
618,"Marina Tavares","Fisioterapia",1,6.5,6.7,84,7,"Presencial","Aparecida de Goiania","Ativo"
619,"Igor Azevedo","Medicina",6,7.1,6,92,1,"Hibrido","Goiania","Ativo"
620,"Renato Fernandes","Fisioterapia",1,5.2,6.1,67,5,"Presencial","Aparecida de Goiania","Ativo"
621,"Renato Lopes","Medicina",4,5.8,6.7,78,6,"Online","Aparecida de Goiania","Ativo"
622,"Fernanda Monteiro","Enfermagem",2,7.1,5.7,74,4,"Presencial","Goiania","Ativo"
623,"Daniel Martins","Medicina",3,6.4,9.3,96,2,"Online","Anapolis","Trancado"
624,"Sofia Freitas","Enfermagem",9,8.6,6.3,65,5,"Presencial","Goiania","Ativo"
625,"Bruno Rocha","Fisioterapia",7,6.2,4.1,94,10,"Hibrido","Rio Verde","Formado"
626,"Yasmin Santos","ADS",7,6.1,6.8,82,4,"Presencial","Anapolis","Ativo"
627,"Elena Barbosa","Fisioterapia",8,7.7,8.7,62,1,"Hibrido","Anapolis","Transferido"
628,"Isabela Castro","ADS",7,5.5,9.1,66,4,"Hibrido","Goiania","Ativo"
629,"Tiago Martins","Enfermagem",4,7.5,5.3,60,7,"Presencial","Brasilia","Formado"
630,"Renato Dias","Medicina",8,6.8,7.1,98,6,"Online","Goiania","Ativo"
631,"Natalia Silva","Enfermagem",1,6.6,6.9,79,6,"Presencial","Aparecida de Goiania","Ativo"
632,"Julia Melo","Medicina",6,6.5,6.9,76,1,"Presencial","Anapolis","Ativo"
633,"Joao Araujo","Medicina",1,7.5,3,69,3,"Presencial","Anapolis","Concluinte"
634,"Patricia Machado","Fisioterapia",2,7.4,7,69,5,"Online","Aparecida de Goiania","Ativo"
635,"Henrique Machado","Fisioterapia",4,7.3,8.1,66,1,"Presencial","Goiania","Ativo"
636,"Nicolas Campos","Fisioterapia",3,6.3,7,85,3,"Presencial","Aparecida de Goiania","Ativo"
637,"Camila Silva","Fisioterapia",9,6,6.6,100,2,"Hibrido","Anapolis","Trancado"
638,"Kevin Moreira","Enfermagem",1,6.8,8.7,31,6,"Presencial","Brasilia","Jubilado"
639,"Xavier Almeida","Medicina",5,8.7,4.8,96,5,"Hibrido","Goiania","Ativo"
640,"Fabio Araujo","Enfermagem",3,5.2,7.1,81,7,"Hibrido","Rio Verde","Ativo"
641,"Igor Lima","Enfermagem",6,9.3,1.9,93,1,"Presencial","Anapolis",""
642,"Ana Pires","Medicina",4,5.3,10,42,7,"Presencial","Goiania","Ativo"
643,"Nadia Farias","Enfermagem",8,6.6,4.9,95,3,"Presencial","Goiania","Ativo"
644,"Beatriz Silva","ADS",2,7.1,8.6,81,7,"Presencial","Rio Verde","Trancado"
645,"Renato Silva","Enfermagem",3,6.4,7.2,94,6,"Online","Goiania","Ativo"
646,"Camila Antunes","Medicina",3,7.7,8,84,4,"Presencial","Anapolis","Cancelado"
647,"Gabriela Batista","Medicina",2,5.6,5.1,100,5,"Online","Goiania","Ativo"
648,"Nicolas Cardoso","Medicina",8,7.1,5.3,68,4,"Presencial","Brasilia","Ativo"
649,"Patricia Alves","Enfermagem",6,9.2,7.2,70,6,"Presencial","Rio Verde","Ativo"
650,"Denise Nunes","Fisioterapia",4,7.8,6.7,94,6,"Hibrido","Aparecida de Goiania","Ativo"
651,"Otavia Nascimento","Fisioterapia",6,8.5,6.9,74,4,"Hibrido","Brasilia","Cancelado"
652,"Felipe Carvalho","Medicina",9,9.1,8,73,11,"Hibrido","Rio Verde","Trancado"
653,"Sandra Farias","Medicina",7,8.2,6,87,7,"Presencial","Anapolis","Trancado"
654,"Otavio Mendes","Enfermagem",5,8.5,8.2,76,5,"Presencial","Brasilia","Ativo"
655,"Gustavo Castro","Fisioterapia",5,8.9,5.4,68,7,"Online","Rio Verde","Ativo"
656,"Daniel Rocha","Medicina",1,7.9,6.9,87,4,"Online","Anapolis","Ativo"
657,"Denise Alves","Enfermagem",7,6.1,7.7,79,3,"Presencial","Goiania","Ativo"
658,"Rafael Dias","Medicina",10,5.9,6.4,88,8,"Online","Brasilia","Ativo"
659,"Lucas Melo","ADS",3,7.5,8.4,91,4,"Presencial","Anapolis","Ativo"
660,"Rafael Monteiro","Fisioterapia",5,8.4,2.6,72,6,"Presencial","Goiania","Ativo"
661,"Xavier Mendes","Fisioterapia",9,4.7,5.4,54,3,"Presencial","Anapolis","Ativo"
662,"Alice Cruz","Medicina",3,3.8,6.7,71,6,"Presencial","Brasilia","Trancado"
663,"Xavier Martins","Enfermagem",9,6.1,7.6,84,5,"Online","Aparecida de Goiania","Transferido"
664,"Larissa Batista","Fisioterapia",3,5.7,2.5,86,2,"Online","Goiania","Ativo"
665,"Ricardo Ramos","ADS",7,7.9,7.1,89,7,"Hibrido","Goiania","Ativo"
666,"Vanessa Oliveira","ADS",7,8.9,7.1,83,11,"Presencial","Anapolis","Ativo"
667,"Alice Antunes","Enfermagem",10,9.2,9.2,68,2,"Presencial","Anapolis","Ativo"
668,"Carla Pires","Medicina",3,5.2,8.8,85,2,"Presencial","Rio Verde","Ativo"
669,"Thiago Gomes","Fisioterapia",8,8,6.7,82,1,"Presencial","Anapolis","Ativo"
670,"Henrique Souza","ADS",6,6.2,6.6,92,6,"Hibrido","Aparecida de Goiania","Ativo"
671,"Julia Silva","Medicina",9,6.6,8.3,62,5,"Online","Anapolis","Ativo"
672,"Kevin Moreira","Enfermagem",6,6.6,6.9,67,10,"Online","Anapolis","Ativo"
673,"Eduarda Cardoso","Fisioterapia",9,5.9,6.9,87,3,"Presencial","Goiania","Trancado"
674,"Rafael Castro","ADS",10,9.3,6.6,78,6,"Presencial","Anapolis","Transferido"
675,"Breno Ferreira","Fisioterapia",7,8.9,6.1,83,1,"Online","Brasilia","Trancado"
676,"Ursula Moura","ADS",1,8.1,7.4,57,4,"Presencial","Aparecida de Goiania","Ativo"
677,"Vitor Barbosa","Medicina",7,8.2,7.6,80,1,"Online","Anapolis","Ativo"
678,"Tiago Pires","Enfermagem",1,5.2,7.5,98,8,"Presencial","Goiania","Ativo"
679,"Livia Cardoso","Medicina",2,6.5,9.8,100,5,"Presencial","Anapolis","Ativo"
680,"Julio Azevedo","Medicina",10,5,8.9,56,4,"Online","Goiania","Trancado"
681,"Wagner Araujo","ADS",5,2.8,3.7,100,7,"Hibrido","Anapolis","Ativo"
682,"Ursula Nascimento","Enfermagem",7,7.5,5.5,62,7,"Presencial","Anapolis","Ativo"
683,"Karina Silva","Medicina",5,5.5,6.9,100,6,"Presencial","Brasilia","Trancado"
684,"Eduardo Costa","Medicina",7,6.9,5.5,85,7,"Hibrido","Goiania","Ativo"
685,"Livia Moura","Enfermagem",9,3.6,6.6,69,13,"Hibrido","Goiania","Ativo"
686,"Ana Rodrigues","Enfermagem",1,3.4,7.1,98,1,"Hibrido","Goiania","Concluinte"
687,"Vitor Castro","Fisioterapia",4,6.6,7.3,87,5,"Presencial","Anapolis","Concluinte"
688,"Henrique Azevedo","ADS",2,8.7,7.4,55,10,"Presencial","Aparecida de Goiania","Ativo"
689,"Karina Tavares","Fisioterapia",8,7.9,4.4,88,3,"Online","Goiania","Cancelado"
690,"Alice Silva","Enfermagem",3,5.7,8.1,85,7,"Online","Anapolis","Trancado"
691,"Denise Tavares","Fisioterapia",4,7.2,8.4,55,2,"Presencial","Goiania","Formado"
692,"Hugo Costa","Enfermagem",10,7.3,5.3,90,3,"Hibrido","Goiania","Ativo"
693,"Larissa Mendes","ADS",6,4.8,6.6,96,6,"Hibrido","Goiania","Ativo"
694,"Renato Pereira","Fisioterapia",3,8.3,8.9,76,6,"Hibrido","Brasilia","Ativo"
695,"Ingrid Reis","Enfermagem",8,7.9,6.9,89,8,"Presencial","Anapolis","Ativo"
696,"Gustavo Vieira","ADS",6,9.3,3.6,54,2,"Presencial","Aparecida de Goiania","Trancado"
697,"Nicolas Cunha","Medicina",4,6.7,10,66,7,"Presencial","Goiania","Ativo"
698,"Xavier Machado","Enfermagem",5,7.7,5.9,87,5,"Presencial","Anapolis","Transferido"
699,"Livia Santos","Fisioterapia",2,7.6,5.6,90,6,"Presencial","Anapolis","Transferido"
700,"Marcelo Ribeiro","Fisioterapia",10,8.1,6.4,100,4,"Presencial","Anapolis","Ativo"
701,"Ricardo Campos","ADS",5,8.6,9.3,97,6,"Presencial","Brasilia","Ativo"
702,"Paula Souza","Medicina",7,6.4,8.9,69,5,"Presencial","Goiania","Formado"
703,"Hugo Ferreira","Fisioterapia",4,5.2,7.3,80,3,"Hibrido","Aparecida de Goiania","Ativo"
704,"Hugo Castro","ADS",7,6.1,3.2,68,3,"Presencial","Anapolis","Ativo"
705,"Marcelo Pinto","Medicina",2,8.9,6.9,90,4,"Online","Rio Verde","Ativo"
706,"Bruno Melo","Fisioterapia",1,4.6,4.6,76,6,"Presencial","Brasilia","Ativo"
707,"Vitor Monteiro","Fisioterapia",9,5.4,5.9,100,1,"Online","Goiania","Jubilado"
708,"Ricardo Lopes","Fisioterapia",10,4.1,6,93,4,"Presencial","Anapolis","Ativo"
709,"Daniel Mendes","Enfermagem",8,10,6.6,97,4,"Online","Goiania","Ativo"
710,"Ana Barbosa","Enfermagem",9,6.3,5.5,82,9,"Presencial","Brasilia","Ativo"
711,"Kevin Azevedo","Fisioterapia",3,9.6,4.4,79,5,"Presencial","Brasilia","Ativo"
712,"Joao Lopes","Enfermagem",6,8.6,8.3,78,2,"Hibrido","Anapolis","Formado"
713,"Helena Azevedo","Fisioterapia",9,6.9,6.8,93,1,"Hibrido","Anapolis","Cancelado"
714,"Vitor Tavares","Fisioterapia",9,10,5.5,100,5,"Online","Anapolis","Ativo"
715,"Julia Cardoso","Fisioterapia",2,5.2,5.8,59,9,"Hibrido","Brasilia","Transferido"
716,"Marcelo Pires","ADS",6,7.6,6.7,74,4,"Hibrido","Goiania","Concluinte"
717,"Otavio Nascimento","Medicina",5,5.6,7.9,67,7,"Online","Goiania","Ativo"
718,"Fernanda Barbosa","Enfermagem",7,7.4,7.5,86,8,"Presencial","Goiania","Ativo"
719,"Breno Andrade","ADS",4,5.6,6,71,7,"Hibrido","Anapolis","Ativo"
720,"Sandra Cardoso","ADS",8,9.6,7.1,68,6,"Presencial","Aparecida de Goiania","Trancado"
721,"Hugo Cardoso","Medicina",9,5.4,6.5,84,7,"Presencial","Brasilia","Transferido"
722,"Joao Melo","Enfermagem",4,6.2,6.5,83,7,"Hibrido","Aparecida de Goiania","Jubilado"
723,"Lucas Mendes","Fisioterapia",2,7.2,6.4,100,6,"Hibrido","Goiania","Ativo"
724,"Diego Cruz","Medicina",9,4.1,3.8,73,5,"Online","Anapolis","Ativo"
725,"Lucas Martins","Enfermagem",10,6.4,4.9,67,1,"Presencial","Rio Verde","Trancado"
726,"Joao Ribeiro","ADS",1,8.8,9.6,96,5,"Hibrido","Goiania","Afastado"
727,"Lucas Campos","ADS",1,6.6,6.8,79,13,"Online","Anapolis","Trancado"
728,"Nicolas Campos","ADS",4,6.8,7,76,5,"Presencial","Rio Verde","Ativo"
729,"Tiago Monteiro","ADS",1,6.7,5,47,7,"Online","Aparecida de Goiania","Ativo"
730,"Hugo Teixeira","Fisioterapia",7,8.3,6.8,79,4,"Presencial","Anapolis","Formado"
731,"Helena Rodrigues","Medicina",7,3.6,3,82,1,"Presencial","Brasilia","Ativo"
732,"Mateus Ribeiro","Medicina",10,7.5,4.9,81,9,"Hibrido","Anapolis","Ativo"
733,"Kevin Cruz","Fisioterapia",5,7.9,4.8,69,7,"Hibrido","Aparecida de Goiania","Trancado"
734,"Nadia Carvalho","Enfermagem",5,9.3,6.7,100,6,"Hibrido","Anapolis","Trancado"
735,"Joao Melo","ADS",1,6.6,4.2,87,5,"Presencial","Goiania","Ativo"
736,"Sofia Lima","Medicina",7,4.9,6.2,82,8,"Presencial","Aparecida de Goiania","Ativo"
737,"Denise Azevedo","Fisioterapia",9,10,5.9,75,1,"Hibrido","Brasilia","Ativo"
738,"Julia Pires","Fisioterapia",8,4,7.5,89,9,"Presencial","Aparecida de Goiania","Concluinte"
739,"Gabriela Alves","Enfermagem",4,10,8.7,68,6,"Hibrido","Brasilia","Ativo"
740,"Pedro Monteiro","Enfermagem",6,10,6.2,42,5,"Online","Anapolis","Ativo"
741,"Otavio Dias","Fisioterapia",4,6,6.7,85,7,"Hibrido","Anapolis","Trancado"
742,"Alice Barbosa","Enfermagem",9,7.8,8.8,89,3,"Presencial","Brasilia",""
743,"Rafael Silva","ADS",3,5.7,4.1,73,7,"Online","Goiania","Trancado"
744,"Vanessa Moura","Enfermagem",8,6.2,8.2,93,7,"Hibrido","Goiania","Ativo"
745,"Pedro Dias","Fisioterapia",2,7.8,8.3,89,2,"Presencial","Anapolis","Ativo"
746,"Julia Farias","Enfermagem",2,7.7,7.5,93,5,"Presencial","Rio Verde","Ativo"
747,"Tiago Gomes","Enfermagem",5,4.6,5.3,79,8,"Presencial","Anapolis","Ativo"
748,"Renato Farias","Medicina",5,5.6,9.6,97,2,"Online","Anapolis","Ativo"
749,"Daniel Antunes","ADS",4,7.5,10,69,5,"Hibrido","Anapolis","Concluinte"
750,"Ursula Ribeiro","Medicina",6,7.1,6.7,89,4,"Online","Anapolis","Ativo"
751,"Daniel Melo","Fisioterapia",4,3.8,6.6,68,6,"Hibrido","Anapolis","Ativo"
752,"Ursula Dias","ADS",1,5.4,6,67,8,"Presencial","Goiania","Ativo"
753,"Vanessa Rocha","Medicina",7,8,8.9,99,4,"Presencial","Anapolis","Formado"
754,"Otavio Freitas","Medicina",8,5.2,7.2,78,1,"Presencial","Anapolis","Cancelado"
755,"Sofia Azevedo","Fisioterapia",9,6.7,7.6,67,6,"Hibrido","Goiania","Formado"
756,"Lucas Ramos","Enfermagem",2,6.5,6.2,73,8,"Presencial","Anapolis","Formado"
757,"Olivia Tavares","Fisioterapia",9,8.2,8.4,82,6,"Hibrido","Goiania","Jubilado"
758,"Pedro Rocha","Enfermagem",2,7.2,7.2,91,7,"Online","Anapolis","Ativo"
759,"Alice Campos","Fisioterapia",9,5.7,5.1,83,5,"Presencial","Brasilia","Ativo"
760,"Breno Fernandes","Enfermagem",3,,7.5,55,8,"Presencial","Anapolis","Formado"
761,"Julio Azevedo","Medicina",8,6,7.5,80,1,"Presencial","Goiania","Ativo"
762,"Caio Martins","Medicina",5,6.2,9,79,4,"Online","Brasilia","Ativo"
763,"Wanda Moura","Enfermagem",6,6.1,7.4,67,6,"Presencial","Anapolis","Ativo"
764,"Natalia Melo","Fisioterapia",8,10,9.5,96,3,"Presencial","Rio Verde","Ativo"
765,"Julia Ramos","Medicina",2,15,9.8,56,2,"Hibrido","Anapolis","Ativo"
766,"Wagner Lopes","ADS",6,9.2,6.2,80,4,"Presencial","Goiania","Ativo"
767,"Wanda Silva","Enfermagem",2,6.2,5.6,86,8,"Online","Aparecida de Goiania","Ativo"
768,"Mateus Castro","Fisioterapia",4,9.3,6.9,87,6,"Presencial","Brasilia","Ativo"
769,"Daniel Pires","Medicina",10,5.9,4.2,68,6,"Presencial","Anapolis","Ativo"
770,"Gabriela Rocha","Enfermagem",1,9.2,7.3,85,4,"Hibrido","Anapolis","Ativo"
771,"Gabriela Nascimento","ADS",1,6.1,10,100,10,"Presencial","Brasilia","Cancelado"
772,"Patricia Martins","Enfermagem",2,6.6,8,72,6,"Presencial","Aparecida de Goiania","Concluinte"
773,"Carla Pires","Fisioterapia",5,9.1,5.4,84,5,"Online","Rio Verde","Ativo"
774,"Caio Tavares","Enfermagem",3,6.8,5.9,69,5,"Hibrido","Goiania","Ativo"
775,"Livia Teixeira","Fisioterapia",7,10,7.3,74,4,"Online","Anapolis","Ativo"
776,"Ana Antunes","ADS",10,7,6.8,86,4,"Online","Brasilia","Ativo"
777,"Vanessa Melo","Medicina",6,6.9,7.4,86,3,"Hibrido","Goiania","Formado"
778,"Renato Castro","Enfermagem",6,5.9,6.7,82,2,"Presencial","Goiania","Formado"
779,"Wagner Santos","ADS",7,7.2,6.9,63,3,"Presencial","Brasilia","Ativo"
780,"Patricia Cruz","Medicina",5,3.8,7.8,71,5,"Hibrido","Aparecida de Goiania","Ativo"
781,"Nadia Ramos","Medicina",6,5.7,5.4,67,9,"Online","Brasilia","Ativo"
782,"Diego Nunes","Fisioterapia",4,7.9,6.9,91,3,"Presencial","Rio Verde","Ativo"
783,"Pedro Cunha","Medicina",5,4.4,6.7,85,5,"Presencial","Aparecida de Goiania","Ativo"
784,"Lucas Moura","Enfermagem",7,6.2,4.4,88,5,"Online","Goiania","Ativo"
785,"Igor Almeida","ADS",10,5.3,10,62,6,"Presencial","Aparecida de Goiania","Trancado"
786,"Vanessa Rocha","Enfermagem",8,8.3,7.7,86,4,"Hibrido","Brasilia","Ativo"
787,"Olivia Lopes","ADS",8,5.1,8.8,96,6,"Hibrido","Anapolis","Formado"
788,"Felipe Azevedo","Fisioterapia",1,3.5,9.1,67,1,"Presencial","Aparecida de Goiania","Ativo"
789,"Felipe Melo","Medicina",8,7,7.1,91,4,"Presencial","Brasilia","Cancelado"
790,"Gabriela Ferreira","Fisioterapia",8,4,8.8,74,8,"Hibrido","Anapolis","Trancado"
791,"Kevin Cardoso","Medicina",2,7.2,6.1,56,8,"Presencial","Anapolis","Ativo"
792,"Eduarda Lima","Medicina",8,6.8,5.1,78,4,"Hibrido","Goiania","Ativo"
793,"Marcelo Azevedo","ADS",10,4.9,8,93,4,"Hibrido","Brasilia","Ativo"
794,"Gustavo Almeida","ADS",6,6.9,7.4,73,6,"Online","Anapolis","Trancado"
795,"Paula Cruz","Enfermagem",1,7.5,10,75,11,"Presencial","Goiania","Formado"
796,"Ana Nunes","Enfermagem",6,7.5,8.1,89,1,"Presencial","Goiania","Ativo"
797,"Bruno Santos","Enfermagem",7,10,4.4,72,6,"Hibrido","Anapolis","Ativo"
798,"Ricardo Monteiro","Fisioterapia",7,5.4,6.8,65,1,"Hibrido","Rio Verde","Transferido"
799,"Vanessa Oliveira","Medicina",7,6,8.2,88,7,"Online","Goiania","Ativo"
800,"Gustavo Cardoso","ADS",2,4.7,6.5,87,1,"Presencial","Anapolis","Formado"
801,"Igor Lopes","Enfermagem",10,6.2,7.2,88,6,"Presencial","Goiania","Ativo"
802,"Igor Monteiro","ADS",1,9.3,4.6,76,3,"Presencial","Anapolis","Ativo"
803,"Renato Azevedo","ADS",5,7.9,9.4,68,8,"Hibrido","Goiania","Ativo"
804,"Eduardo Castro","ADS",1,7.7,8.1,66,7,"Presencial","Goiania","Ativo"
805,"Wagner Oliveira","Enfermagem",10,5,5.4,63,9,"Presencial","Goiania","Ativo"
806,"Carla Ramos","Enfermagem",5,8.1,6.8,68,6,"Presencial","Goiania","Concluinte"
807,"Lucas Monteiro","Enfermagem",7,5.3,8.2,69,1,"Presencial","Anapolis","Ativo"
808,"Yasmin Rocha","Enfermagem",1,5.3,3.9,79,2,"Presencial","Brasilia","Ativo"
809,"Rafael Silva","Fisioterapia",9,8.9,5.8,74,8,"Online","Anapolis","Ativo"
810,"Ingrid Pires","Enfermagem",3,8.2,3.8,77,9,"Hibrido","Goiania","Ativo"
811,"Larissa Ramos","Fisioterapia",9,6.1,5,96,7,"Presencial","Aparecida de Goiania","Ativo"
812,"Sandra Ferreira","Medicina",2,10,8.7,69,5,"Presencial","Brasilia","Ativo"
813,"Renato Monteiro","Enfermagem",2,6.2,7.6,85,7,"Online","Goiania","Trancado"
814,"Alice Pires","Medicina",7,5,9.6,90,5,"Presencial","Anapolis","Ativo"
815,"Eduardo Machado","Medicina",9,6.7,9.6,64,1,"Online","Anapolis","Ativo"
816,"Sofia Lima","Fisioterapia",7,3.3,5.2,74,4,"Presencial","Rio Verde","Ativo"
817,"Karina Pires","Enfermagem",5,5.3,6.2,70,3,"Presencial","Rio Verde","Trancado"
818,"Marina Almeida","Medicina",10,5.6,9.8,69,7,"Presencial","Anapolis","Cancelado"
819,"Ricardo Teixeira","Enfermagem",3,8.6,4.2,90,3,"Presencial","Aparecida de Goiania","Ativo"
820,"Gustavo Ribeiro","Enfermagem",5,6.6,6.6,91,6,"Online","Brasilia","Trancado"
821,"Eduardo Alves","ADS",5,7.9,3.5,85,10,"Hibrido","Brasilia","Ativo"
822,"Mateus Freitas","Medicina",5,6.4,5.3,100,7,"Presencial","Aparecida de Goiania","Ativo"
823,"Julio Azevedo","Medicina",6,8,8.2,84,10,"Presencial","Brasilia","Ativo"
824,"Fernanda Dias","Enfermagem",9,8.6,8.7,93,5,"Hibrido","Brasilia","Trancado"
825,"Gustavo Ferreira","Enfermagem",5,4.1,5.7,75,1,"Hibrido","Goiania","Ativo"
826,"Wagner Oliveira","Fisioterapia",10,4.5,7.2,95,7,"Online","Anapolis","Trancado"
827,"Daniel Martins","Fisioterapia",4,9.6,8.9,98,5,"Hibrido","Rio Verde","Ativo"
828,"Fernanda Vieira","ADS",5,5,8.3,64,6,"Presencial","Brasilia","Formado"
829,"Yasmin Araujo","Enfermagem",7,7.1,5.3,83,9,"Presencial","Anapolis","Trancado"
830,"Nicolas Gomes","Medicina",6,8.8,4.4,66,8,"Presencial","Anapolis","Cancelado"
831,"Karina Rocha","ADS",6,5.6,9.1,100,4,"Hibrido","Anapolis","Transferido"
832,"Helena Cunha","Enfermagem",2,6.8,8.6,90,1,"Presencial","Brasilia","Ativo"
833,"Nicolas Pereira","Medicina",3,4.9,8.5,90,6,"Presencial","Goiania","Ativo"
834,"Bruno Nascimento","Fisioterapia",1,7,8.3,62,8,"Presencial","Brasilia","Afastado"
835,"Julia Costa","ADS",7,8.5,8.9,100,6,"Hibrido","Anapolis","Ativo"
836,"Ingrid Vieira","Enfermagem",9,6.6,8.7,73,5,"Presencial","Rio Verde","Ativo"
837,"Marina Tavares","Enfermagem",1,4.8,7.3,60,5,"Hibrido","Anapolis","Ativo"
838,"Ingrid Tavares","Enfermagem",8,6.9,,64,8,"Online","Anapolis","Cancelado"
839,"Yasmin Souza","Medicina",2,4.8,6,80,12,"Online","Anapolis","Trancado"
840,"Alice Batista","Enfermagem",1,7.5,8.9,88,1,"Online","Anapolis","Ativo"
841,"Elena Lima","Enfermagem",10,8.7,7.9,100,7,"Presencial","Anapolis","Ativo"
842,"Fabio Monteiro","ADS",7,4,8.8,38,6,"Hibrido","Goiania","Ativo"
843,"Larissa Cardoso","ADS",4,7.6,6,47,5,"Online","Goiania","Ativo"
844,"Marcelo Antunes","ADS",7,5.2,7.2,84,5,"Presencial","Brasilia","Ativo"
